Country Name,"Time","CO2 emissions (kg per 2010 US$ of GDP)","GDP (current US$)","GDP growth (annual %)","GDP deflator (base year varies by country)","GDP per capita (constant 2010 US$)"
World,"1960","0.840407621758056","1352934141105.46","","","3679.71628618822"
World,"1961","0.808689385329658","1408319818797.99","4.29498612450072","","3786.52703575937"
World,"1962","0.797824715439222","1507694495382.42","5.54985283245257","","3929.05065649321"
World,"1963","0.800002157396209","1628586595985.8","5.20224436743051","","4049.48041729313"
World,"1964","0.793126092814463","1786711138819.67","6.64412836224406","","4231.87072806767"
World,"1965","0.78470623128301","1946931144711.62","5.57273035401795","","4378.10755547241"
World,"1966","0.778678450122947","2110121189314.61","5.77338056322365","","4535.67107303589"
World,"1967","0.769907604246637","2253163975410.39","4.38778153609343","","4639.82168214264"
World,"1968","0.762327006434473","2429368208925.09","6.15738481089411","","4827.69383432028"
World,"1969","0.761607109311645","2672081457955.09","6.09757082776139","","5016.50291032551"
World,"1970","0.782479959649799","2936449087706.58","4.37336009686975","","5129.20453386358"
World,"1971","0.778999100654369","3242218447301.69","4.25401740169124","","5237.5437444114"
World,"1972","0.766028716154046","3748868269020.92","5.68378043575683","","5424.60815839202"
World,"1973","0.759284861102872","4561619140191.17","6.46518302991035","","5663.51733081534"
World,"1974","0.749690618618476","5244823351364.49","1.98819575401028","","5665.56075336192"
World,"1975","0.738599011247449","5838390603244.98","0.908826714815689","","5611.93198947432"
World,"1976","0.742565169271001","6338946480842.65","5.26595046508267","","5803.57536649767"
World,"1977","0.736341705063007","7164570104373.51","3.9965880569418","","5931.57381910994"
World,"1978","0.715527490440489","8438146734961.64","4.09868302160528","","6068.34253535514"
World,"1979","0.725625197731964","9816406822304.42","4.10848712938297","","6208.25886294633"
World,"1980","0.704193080067775","11072407163504","1.9661331883669","","6221.6533865213"
World,"1981","0.669530734706927","11339225370709.1","1.94235591894144","","6233.03089154152"
World,"1982","0.660424239753823","11217845291200.8","0.510435369463067","","6154.65182423121"
World,"1983","0.641739114450617","11592060409004.6","2.52741689776725","","6200.20210526225"
World,"1984","0.635879750016704","12016824283025.2","4.56035013201515","","6372.19935215565"
World,"1985","0.630442868717529","12643745145459.9","3.91163198921352","","6507.84808684499"
World,"1986","0.629332482432621","14968095100146.2","3.24613871209922","","6602.05746502454"
World,"1987","0.622856743198424","17030806318698.2","3.60948987203456","","6720.25125286735"
World,"1988","0.617330628368798","19065435656265.8","4.61353349310976","","6907.79417207848"
World,"1989","0.607955631291776","20010757441145.9","3.76507837033124","","7045.14756286804"
World,"1990","0.593461685857961","22516517358561.9","2.94925717001757","","7129.45913200945"
World,"1991","0.592636636193016","23851738070186","1.36918558809096","","7110.21150938911"
World,"1992","0.57646603249728","25342928951843.2","1.78685086546126","","7126.33747569142"
World,"1993","0.566533380696281","25785801382574.7","1.65408580017572","","7133.93265226753"
World,"1994","0.559216353405174","27750101352800.9","3.02528347565378","","7240.74642332068"
World,"1995","0.555016685983419","30847798398716.6","2.95798778485295","","7344.26719260016"
World,"1996","0.549552179122307","31528704718721.2","3.33073763623888","","7480.39565218639"
World,"1997","0.537674886274148","31412174125167.5","3.75150029689921","","7651.37502196796"
World,"1998","0.523614229334501","31315776695463.6","2.43272623696895","","7729.40379043535"
World,"1999","0.505902283787461","32487897854651","3.31204633916624","","7877.90946042395"
World,"2000","0.497267740200069","33547584771076.1","4.34223884742906","","8111.7402648009"
World,"2001","0.499155007198708","33342786907089.5","1.97658033856003","","8165.06895991347"
World,"2002","0.492711400449435","34617433714414.1","2.1905135005281","","8238.68222777609"
World,"2003","0.507826728652573","38875972061510.5","2.90416346631007","","8372.21601066938"
World,"2004","0.510352139427478","43779148933011.9","4.47569383382709","","8638.47725004465"
World,"2005","0.509985670782605","47391754233579.3","3.82374471796751","","8858.35123809058"
World,"2006","0.505765024704347","51310592618957.8","4.37785073946668","","9132.92317035141"
World,"2007","0.495383375766256","57756336378116.2","4.32022745351451","","9411.72890955386"
World,"2008","0.500741277740567","63345095627850.4","1.84382561528564","","9468.29823238611"
World,"2009","0.503748989865401","60043973367100.2","-1.70053149299683","","9194.83517072935"
World,"2010","0.510352752546842","65853158964855","4.37184163095282","","9482.15018785577"
World,"2011","0.515114502355588","73172666460086.8","3.09847290532655","","9659.8390726749"
World,"2012","0.51143945717406","74681803940142.8","2.4452335295624","","9780.8235439875"
World,"2013","0.504491192231114","76776112373375.8","2.47795533482093","","9902.17289428614"
World,"2014","","78630126296541","2.68959885107955","","10049.8985377606"
World,"2015","","74152476351765.6","2.62947969127758","","10193.6273141707"
China,"1960","6.10237341557875","59716467625.3148","","16.9722309637639","191.791175754979"
China,"1961","5.93305058350219","50056868957.6732","-27.27","19.5611740118473","140.913496189767"
China,"1962","5.01221036824609","47209359005.6056","-5.58000000000007","19.538685526147","131.963368611071"
China,"1963","4.50635897265273","50706799902.5103","10.3","19.0264572647409","142.021952366466"
China,"1964","3.81511684600031","59708343488.5043","18.18","18.9575741664563","163.991321680478"
China,"1965","3.55373400043089","70436266146.7219","16.9500000000001","19.1224635080067","187.274627514997"
China,"1966","3.52759011767482","76720285969.6157","10.6500000000005","18.8237570837169","201.523237634431"
China,"1967","3.10230599536091","72881631326.6715","-5.77000000000038","18.9768878340753","185.075923469059"
China,"1968","3.50146822536464","70846535055.6503","-4.10000000000002","19.2356520770442","172.913748684176"
China,"1969","3.68582422058362","79705906247.4612","16.9399999999999","18.5061344474337","196.740122622732"
China,"1970","4.12992310165931","92602973434.0726","19.3000000000001","18.0222785242144","228.317697879346"
China,"1971","4.38258650645676","99800958648.1436","7.05999999999993","18.1422956174144","237.813833236172"
China,"1972","4.48633421473206","113687586299.051","3.81000000000033","18.1557545912506","240.881883698117"
China,"1973","4.32847261398206","138544284708.957","7.75999999999981","18.1936029887082","253.714367458263"
China,"1974","4.31579812814734","144182133387.722","2.31000000000017","18.2441331145503","254.267479150881"
China,"1975","4.60282228163475","163431551779.761","8.71999999999974","18.0377600133564","271.599470600254"
China,"1976","4.88272661093715","153940455341.506","-1.57000000000012","18.018588358337","263.230616406202"
China,"1977","4.97214778586635","174938098826.569","7.57000000000032","18.2156705924069","279.32454070159"
China,"1978","4.96871056378186","149540650406.504","11.666644","18.4642941934284","307.766188030319"
China,"1979","4.72100508365108","178282608695.652","7.59999999999982","19.1277058184126","326.768362107046"
China,"1980","4.29808819092637","191150000000","7.80669144981405","19.850246020608","347.88740549052"
China,"1981","4.0430009497625","195865079365.079","5.1724137931036","20.3065461203829","361.224702814885"
China,"1982","4.04063848733059","205091603053.435","8.93442622950826","20.2937604174521","387.745572498909"
China,"1983","3.84580015476757","230685823754.789","10.8352144469526","20.5162038777743","423.593489581074"
China,"1984","3.63642883911339","259946428571.429","15.1391717583161","21.5404304289951","481.364585319512"
China,"1985","3.47333709303967","309486394557.823","13.4433962264151","23.7367995965913","538.690815583127"
China,"1986","3.35435460620901","300759420289.855","8.93970893970915","24.8476542142973","578.184027826572"
China,"1987","3.20759723727392","272973094170.404","11.6889312977097","26.1030723082933","635.494589246398"
China,"1988","3.09216244328368","312353909465.021","11.2345151644597","29.2604212532504","695.599039324942"
China,"1989","3.01682716970799","347767206477.733","4.18586789554536","31.7836756999981","713.689512111866"
China,"1990","2.96631736429698","360858508604.206","3.907113896056","33.6032978747549","730.77247319583"
China,"1991","2.8506081405943","383372822299.652","9.29407591344453","35.8492319009428","787.867418069003"
China,"1992","2.60341848597161","426915227629.513","14.2161635832522","38.7882468027476","888.91098484031"
China,"1993","2.44130709683256","444730903968.185","13.8675760159136","44.6849282696083","1000.61178805224"
China,"1994","2.29413939806796","564325246266.838","13.0521587222361","53.8903967138835","1118.49955322371"
China,"1995","2.24491111822481","734548001963.907","10.9492273730688","61.2574505682408","1227.55638029197"
China,"1996","2.12999036560277","863746361646.34","9.92837246319071","65.2398201110143","1335.36265115067"
China,"1997","1.95360666036183","961603416246.472","9.23076923076962","66.2981049589173","1443.77471054146"
China,"1998","1.73582018172995","1029043011921.59","7.83761391880707","65.7063663324883","1542.06409652235"
China,"1999","1.60915469070595","1093997559885.48","7.66748617086685","64.8729631921005","1645.98795998062"
China,"2000","1.52215347605367","1211346395438.73","8.49150849150841","66.2102506480514","1771.74146736987"
China,"2001","1.43897216634267","1339395440432.04","8.33991054985512","67.5630146177037","1905.61073878059"
China,"2002","1.39671741007774","1470549716080.71","9.13064594463297","67.9716702657669","2065.71853445481"
China,"2003","1.55483938282651","1660287543796.06","10.0356030262573","69.7426286330521","2258.91205641921"
China,"2004","1.65015011694365","1955347477285.91","10.1112234580385","74.5927924323712","2472.58650206857"
China,"2005","1.62192021607138","2285965854313.36","11.3957759412305","77.5038604097125","2738.2054005664"
China,"2006","1.59408320557259","2752132089196.58","12.7194790206907","80.5481535382043","3069.30471438429"
China,"2007","1.47757798787187","3552182714426.55","14.2313880356884","86.8349516766331","3487.84568996575"
China,"2008","1.42364394800948","4598205419718.8","9.65428937259922","93.6318524276177","3805.02591614039"
China,"2009","1.3816656838273","5109954035775.98","9.39981317141532","93.5065025580468","4142.03819614617"
China,"2010","1.43721083456304","6100620356557.32","10.6361404632297","100","4560.5124871009"
China,"2011","1.45525364295138","7572554360442.62","9.53644300805558","108.15216101866","4971.54482081216"
China,"2012","1.39034316885868","8560546868811.69","7.8562621102694","110.739670905893","5336.06002747016"
China,"2013","1.31969953085156","9607224248684.59","7.75763514617032","113.203891030163","5721.69369479588"
China,"2014","","10482371325324.7","7.29766595938162","114.141636471031","6108.23864247317"
China,"2015","","11007720594138.9","6.91433010805844","113.645168255939","6497.48230504326"
United States,"1960","0.939125843563763","543300000000","","17.6506645166952","17036.8851695882"
United States,"1961","0.914775304073855","563300000000","2.29999999999977","17.8889756514117","17142.1937673897"
United States,"1962","0.894119945624759","605100000000","6.09999999999999","18.1116280519907","17910.2787901684"
United States,"1963","0.894287910965189","638600000000","4.40000000000002","18.3087524781396","18431.1584040472"
United States,"1964","0.882323693185445","685800000000","5.80000000000014","18.5841050713904","19231.1718590604"
United States,"1965","0.863615476634681","743700000000","6.39999999999984","18.9408875173403","20207.7495376936"
United States,"1966","0.851788925578014","815000000000","6.50000000000024","19.4899418989714","21274.1354890107"
United States,"1967","0.862237349388946","861700000000","2.50000000000003","20.1041244163923","21569.8356088859"
United States,"1968","0.852943325207486","942500000000","4.79999999999974","20.9821093737678","22380.6067673191"
United States,"1969","0.8690562909034","1019900000000","3.10000000000004","22.0225048435433","22850.010833783"
United States,"1970","0.905688355961952","1075884000000","3.20680725745444","22.5095196935085","23309.6209459064"
United States,"1971","0.882437817394732","1167770000000","3.29547672836176","23.652485717107","23775.2769229658"
United States,"1972","0.878372951905143","1282449000000","5.26326277619982","24.6764539341787","24760.1453772345"
United States,"1973","0.868835458265086","1428549000000","5.64312484755203","26.0193564120376","25908.9128017215"
United States,"1974","0.8419149794748","1548825000000","-0.51715456222523","28.3566916084469","25540.5010030208"
United States,"1975","0.808331569429603","1688923000000","-0.197678536519447","30.9829250661444","25239.919905729"
United States,"1976","0.803012316782479","1877587000000","5.38609005075547","32.6835591793911","26347.809281996"
United States,"1977","0.789133091241069","2085951000000","4.60859740653179","34.7109098767246","27286.2515144911"
United States,"1978","0.770976116068747","2356571000000","5.5616849289446","37.1480576518143","28500.2404573534"
United States,"1979","0.748916590587246","2632143000000","3.17569075012061","40.2149633190279","29082.5937779654"
United States,"1980","0.723400811456393","2862505000000","-0.244596225208085","43.8417639996291","28734.3992597646"
United States,"1981","0.677129505376235","3210956000000","2.59447038823151","47.9349376168536","29191.9994879416"
United States,"1982","0.655460511553525","3344991000000","-1.91089106804856","50.9086964010104","28362.4946163409"
United States,"1983","0.631550741525715","3638137000000","4.63245718120484","52.9187585762209","29406.2574686046"
United States,"1984","0.606887493976898","4040693000000","7.25908695936059","54.7964417251526","31268.9756446518"
United States,"1985","0.584468081707103","4346734000000","4.23873752083914","56.549715462106","32306.8330567744"
United States,"1986","0.565005577107862","4590155000000","3.5116144990922","57.6906760683439","33133.6954441913"
United States,"1987","0.56953529047553","4870217000000","3.46174769185008","59.1625356825529","33975.6547953064"
United States,"1988","0.570357743282185","5252629000000","4.20397197941296","61.2337590254932","35083.9690428182"
United States,"1989","0.557144445593316","5657693000000","3.68052403304715","63.6145395404228","36033.3302026992"
United States,"1990","0.532142205418612","5979589000000","1.91937029742549","65.9677410442016","36312.4141825874"
United States,"1991","0.532407181083408","6174043000000","-0.0740845307123976","68.1634859327105","35803.8684213439"
United States,"1992","0.523586522331865","6539299000000","3.55539614766758","69.7173070724167","36566.1737698527"
United States,"1993","0.522235197040606","6878718000000","2.74585671892275","71.3760641062171","37078.04968394"
United States,"1994","0.508504669655239","7308755000000","4.03764342486481","72.8950415903618","38104.9724675631"
United States,"1995","0.498883137619696","7664060000000","2.71897578878193","74.415396448145","38677.7150883663"
United States,"1996","0.492115487915454","8100201000000","3.79588122942587","75.7738892712665","39681.5198579033"
United States,"1997","0.48123686809639","8608515000000","4.48702649316731","77.070762148309","40965.8466450522"
United States,"1998","0.463793182324861","9089168000000","4.44991096328404","77.9071773725046","42292.8912011426"
United States,"1999","0.451183866860601","9660624000000","4.68519960839866","79.0994079578494","43768.8849928326"
United States,"2000","0.448501784959191","10284779000000","4.09217644881066","80.8993306516876","45055.817918284"
United States,"2001","0.436343832589074","10621824000000","0.975981833932124","82.7429462155075","45047.4871976844"
United States,"2002","0.432308634295484","10977514000000","1.78612768745552","84.0131535313568","45428.6456781274"
United States,"2003","0.422776083918266","11510670000000","2.80677595648093","85.688423081224","46304.0360895612"
United States,"2004","0.413396598821568","12274928000000","3.78574284969444","88.0446157815163","47614.2798621765"
United States,"2005","0.402215716332336","13093726000000","3.34521606334877","90.8775730158382","48755.6160606735"
United States,"2006","0.385597260594519","13855888000000","2.666625826122","93.6695743612358","49575.401013591"
United States,"2007","0.384906760180017","14477635000000","1.77857023965289","96.1624368334201","49979.5338429195"
United States,"2008","0.374544047074731","14718582000000","-0.291621458693953","98.0487711024286","49364.6445500336"
United States,"2009","0.361369358453275","14418739000000","-2.77552957416808","98.7933875563355","47575.608562749"
United States,"2010","0.361449782456624","14964372000000","2.53192061616315","100","48374.0867933094"
United States,"2011","0.348939296876906","15517926000000","1.60145467247139","102.064627466579","48774.7830879542"
United States,"2012","0.329156659312057","16155255000000","2.22403085385714","103.944710450544","49481.1586539983"
United States,"2013","0.328179201044343","16691517000000","1.67733152992453","105.623424892253","49941.4891093737"
United States,"2014","","17393103000000","2.37045767146387","107.514455645678","50727.7512104525"
United States,"2015","","18036648000000","2.59614804050973","108.671225774323","51638.065206636"
Japan,"1960","0.292360419568776","44307342950.4","","22.8220091007978","8607.65463077733"
Japan,"1961","0.317359518136098","53508617739.3778","12.0435364080116","24.598866283716","9396.21853835111"
Japan,"1962","0.301796942672967","60723018683.7333","8.90897299558078","25.6319147545461","10138.3941269082"
Japan,"1963","0.308586357769121","69498131797.3333","8.47364238279388","27.0443534863621","10886.1610106025"
